OBJECTID,SEA_NAME,SEA_TYPE,IMPLEMENTATION
736,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
737,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
738,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
739,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
740,Santa Monica Mountains,Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
741,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
742,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
743,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
744,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
745,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
746,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
747,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
748,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
749,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
750,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
751,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
752,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
753,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
754,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
755,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
756,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
757,Santa Monica Mountains,Coastal Resource Area (Ocean),SEA Ordinance does NOT Apply - Defer to Coastal Commission
758,Santa Monica Mountains,Coastal Resource Area,SEA Ordinance does NOT Apply - Defer to Coastal Commission
759,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
760,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
761,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
762,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
763,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
764,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
765,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
766,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
767,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
768,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
769,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
770,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
771,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
772,Santa Monica Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
773,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
774,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
775,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
776,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
777,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
778,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
779,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
780,Santa Monica Mountains,Significant Ecological Area,SEA Ordinance Applies
781,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
782,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
783,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
784,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
785,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
786,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
787,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
788,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
789,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
790,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
791,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
792,Santa Susana Mountains/Simi Hills,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
793,Santa Susana Mountains/Simi Hills,Significant Ecological Area,SEA Ordinance Applies
794,Santa Susana Mountains/Simi Hills,Significant Ecological Area,SEA Ordinance Applies
795,Santa Susana Mountains/Simi Hills,Significant Ecological Area,SEA Ordinance Applies
796,Santa Susana Mountains/Simi Hills,Significant Ecological Area,SEA Ordinance Applies
797,Terminal Island (Pier 400),Coastal Resource Area (Incorporated City),SEA Ordinance does NOT Apply - Defer to Coastal Commission
798,Tujunga Valley/Hansen Dam,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
799,Valley Oaks Savannah,Significant Ecological Area,SEA Ordinance Applies
800,Verdugo Mountains,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
839,Cruzan Mesa Vernal Pools,Significant Ecological Area,SEA Ordinance Applies
840,Cruzan Mesa Vernal Pools,Significant Ecological Area,SEA Ordinance Applies
841,Cruzan Mesa Vernal Pools,Significant Ecological Area,SEA Ordinance Applies
842,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
843,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
844,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
845,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
846,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
847,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
848,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
849,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
850,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
851,Puente Hills,Significant Ecological Area,SEA Ordinance Applies
1242,Indian Rock,Significant Ecological Area,Santa Catalina Local Coastal Program
1243,Toyon Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1244,Parson's Landing,Significant Ecological Area,Santa Catalina Local Coastal Program
1245,Arrow Point,Significant Ecological Area,Santa Catalina Local Coastal Program
1246,Blue Cavern Point,Significant Ecological Area,Santa Catalina Local Coastal Program
1247,Avalon Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1248,Bird Rock,Significant Ecological Area,Santa Catalina Local Coastal Program
1249,Johnson's Landing,Significant Ecological Area,Santa Catalina Local Coastal Program
1250,Ben Weston Beach,Significant Ecological Area,Santa Catalina Local Coastal Program
1251,Silver Peak,Significant Ecological Area,Santa Catalina Local Coastal Program
1252,Haypress Area,Significant Ecological Area,Santa Catalina Local Coastal Program
1253,Upper Descanso Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1254,Pebbly Beach Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1255,White's Landing,Significant Ecological Area,Santa Catalina Local Coastal Program
1256,Black Point,Significant Ecological Area,Santa Catalina Local Coastal Program
1257,Salta Verde / Wild Boar Gully,Significant Ecological Area,Santa Catalina Local Coastal Program
1258,Bulrush Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1259,Little Harbor / Shark Harbor / Indian Head Point,Significant Ecological Area,Santa Catalina Local Coastal Program
1260,Indian Rock,Significant Ecological Area,Santa Catalina Local Coastal Program
1261,Catalina Harbor,Significant Ecological Area,Santa Catalina Local Coastal Program
1262,Skull Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1263,Cactus Peak,Significant Ecological Area,Santa Catalina Local Coastal Program
1264,Fourth Of July Cove,Significant Ecological Area,Santa Catalina Local Coastal Program
1265,Renton Mine Road,Significant Ecological Area,Santa Catalina Local Coastal Program
1266,Cherry Valley,Significant Ecological Area,Santa Catalina Local Coastal Program
1267,Sweetwater Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1268,Upper Isthmus Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1269,Geiger Coves,Significant Ecological Area,Santa Catalina Local Coastal Program
1270,Bird Rock,Significant Ecological Area,Santa Catalina Local Coastal Program
1271,Buffalo Springs,Significant Ecological Area,Santa Catalina Local Coastal Program
1272,Cape Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1273,Gallagher's Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1274,Mount Orizaba,Significant Ecological Area,Santa Catalina Local Coastal Program
1275,Middle Ranch Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1276,Swain's Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1277,Cottonwood Canyon,Significant Ecological Area,Santa Catalina Local Coastal Program
1648,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
1649,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
1650,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
1651,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
1652,Santa Clara River,Significant Ecological Area (Incorporated City),SEA Ordinance does NOT Apply - Incorporated City
1653,Santa Clara River,Significant Ecological Area,SEA Ordinance Applies
